Job_ID,City,Industry,Job_Role,Skill_Set,Experience_Level,Salary_Range,Company_Name,Talent_Inflow,Talent_Outflow,Infrastructure_Score,Smart_City_Investment,GCC_Presence,MSME_Growth_Rate,Unemployment_Rate,Education_Hubs,Cost_of_Living_Index,Job_Posting_Date
17,Madurai,Retail,Sales,"Sales, Communication, Negotiation",Internship,300000.0,Others,1299,1355,73.73,1061.22,0,6.32,11.61,15,83.43,2023-06-23
18,Raipur,Manufacturing,Others,"English, MS Office",Mid-Level,464992.96,Others,1793,1128,73.54,9805.95,0,2.81,9.78,12,75.42,2024-07-25
19,Vijayawada,Pharma,Engineering,"Java, Python, SQL, Project Management",Entry-Level,500492.17,Reliance Retail,2479,658,81.27,3274.08,1,3.02,3.74,5,87.19,2024-03-17
20,Vijayawada,Pharma,Engineering,"Java, Python, SQL, Project Management",Entry-Level,346759.79,Reliance Retail,2337,1476,79.46,4388.57,1,7.41,3.48,16,73.15,2023-06-23
21,Rajkot,Retail,Data Science,"Python, Data Visualization",Senior-Level,1687235.95,Reliance Retail,1314,1496,61.04,1468.27,0,13.81,9.91,6,95.68,2023-05-27
22,Madurai,Pharma,Business Development,"Sales, Market Analysis, CRM",Mid-Level,656439.3,Reliance Retail,1222,1061,55.92,2400.87,0,5.02,7.31,27,76.21,2023-11-27
23,Vadodara,Manufacturing,Data Science,"SQL, Statistics",Mid-Level,903609.3,Others,1268,1752,61.94,2745.34,0,6.45,11.47,7,87.82,2024-04-12
24,Rajkot,Others,Engineering,"Project Management, Java, Python, SQL",Entry-Level,368000.52,Reliance Retail,649,1209,59.61,4834.81,0,11.97,9.53,16,83.35,2024-02-10
25,Visakhapatnam,Tech,Data Science,"SQL, Statistics, Python, Data Visualization",Internship,300000.0,HCLTech,3438,785,90.27,3902.88,1,9.46,4.6,5,79.21,2025-02-22
26,Visakhapatnam,Others,Engineering,"Java, Project Management",Mid-Level,849234.5,Others,3076,387,88.54,1301.44,1,8.0,4.74,7,69.89,2023-05-12
27,Vadodara,Healthcare,Operations,"Operations Management, Excel, Logistics",Entry-Level,307217.74,Reliance Retail,1257,1713,52.84,4089.27,0,6.42,7.82,19,76.82,2024-10-05
28,Jodhpur,Others,AI/ML,"TensorFlow, NLP",Mid-Level,620057.27,Reliance Retail,1101,1514,63.87,3189.79,0,4.38,10.58,5,79.68,2023-06-05
29,Ranchi,Retail,Business Development,"CRM, Market Analysis, Sales",Internship,300000.0,Others,955,1108,53.2,5759.51,0,9.17,6.21,38,66.76,2024-06-21
30,Visakhapatnam,Tech,Engineering,"Java, Project Management, SQL, Python",Entry-Level,578306.6,HCLTech,2446,189,83.1,4197.64,1,8.99,4.76,5,83.89,2023-11-10
31,Nashik,Healthcare,Operations,"Excel, Logistics, Operations Management",Mid-Level,794368.49,Reliance Retail,1028,1557,53.69,4377.76,1,13.75,5.73,14,82.56,2023-12-11
32,Madurai,Healthcare,AI/ML,"TensorFlow, Deep Learning",Entry-Level,395826.76,Reliance Retail,219,1562,58.88,3336.8,0,6.69,7.36,24,69.77,2023-04-21
33,Vadodara,Tech,Operations,"Logistics, Operations Management",Entry-Level,394461.86,Reliance Retail,370,1856,51.39,1072.97,0,9.17,5.04,12,88.92,2024-07-10
34,Madurai,Healthcare,AI/ML,"Python, TensorFlow, NLP",Mid-Level,793390.65,Reliance Retail,126,2285,74.2,3944.99,0,8.14,11.52,25,62.07,2024-04-03
35,Raipur,Others,Sales,"Negotiation, Communication, Sales",Entry-Level,360377.57,Reliance Retail,711,1750,61.79,6744.34,0,2.99,6.27,12,88.86,2023-12-29
36,Nashik,Tech,Business Development,"Market Analysis, Sales, CRM",Senior-Level,1741631.92,HCLTech,1265,1708,54.66,4631.46,1,11.58,11.3,11,77.55,2023-04-21
37,Jodhpur,Others,Data Science,"SQL, Python, Statistics, Data Visualization",Entry-Level,341209.91,Reliance Retail,0,813,67.34,2981.69,0,9.98,10.45,8,82.8,2024-10-30
38,Ranchi,Education,Retail,"MS Office, English, Customer Service",Entry-Level,385948.92,Reliance Retail,1643,1366,68.06,8600.18,0,4.77,9.08,27,71.52,2024-10-13
39,Jodhpur,Tech,Data Science,"Python, SQL, Statistics, Data Visualization",Senior-Level,2640532.07,HCLTech,531,1237,50.58,2497.74,0,2.83,5.86,14,93.56,2025-01-14
40,Rajkot,Healthcare,Engineering,"Project Management, Java, SQL",Senior-Level,1561383.06,Others,1027,1828,51.37,1018.53,0,11.99,7.43,5,83.48,2024-01-18
41,Ranchi,Retail,Retail,"English, MS Office",Entry-Level,300000.0,Reliance Retail,1138,1284,62.88,9877.71,0,3.48,7.78,38,95.92,2024-09-01
42,Nashik,Retail,Business Development,"CRM, Sales",Entry-Level,354353.26,Reliance Retail,983,1336,69.39,2763.05,1,12.0,11.62,7,85.76,2024-03-13
43,Raipur,Finance,Sales,"Communication, Negotiation, Sales",Entry-Level,493678.44,Others,613,1473,66.8,5520.54,0,3.91,10.06,8,97.78,2025-01-08
44,Ranchi,Retail,Business Development,"CRM, Sales",Entry-Level,301799.02,Reliance Retail,1115,1285,53.07,9382.22,0,4.69,5.24,39,76.38,2024-09-17
45,Vijayawada,Tech,Engineering,"Python, Project Management, Java",Entry-Level,609125.91,Others,2484,399,79.03,1557.42,1,6.21,2.82,14,83.06,2024-02-15
46,Nashik,Retail,Business Development,"CRM, Market Analysis, Sales",Mid-Level,1015367.07,Reliance Retail,1514,1641,53.42,3389.65,1,13.0,7.68,16,98.35,2024-12-09
47,Agra,Retail,Business Development,"Sales, CRM",Entry-Level,300000.0,Reliance Retail,1603,1569,59.92,2935.02,0,3.3,11.69,13,90.84,2024-12-12
48,Raipur,Finance,Engineering,"Project Management, Python, SQL, Java",Entry-Level,488907.79,Reliance Retail,982,2031,56.16,8997.08,0,4.89,5.96,11,80.85,2023-05-17
49,Vijayawada,Tech,Data Science,"Python, SQL, Data Visualization, Statistics",Senior-Level,3205111.85,HCLTech,2844,751,88.55,3679.67,1,9.99,3.42,11,71.89,2023-04-12
50,Raipur,Education,Others,"English, MS Office",Internship,300000.0,Reliance Retail,980,1704,57.98,5185.04,0,2.62,10.07,19,92.16,2025-01-11
51,Ranchi,Education,Retail,"Customer Service, English, MS Office",Mid-Level,376439.54,Reliance Retail,1364,1434,50.01,5927.36,0,2.42,8.36,35,99.36,2023-08-14
52,Vijayawada,Pharma,Engineering,"Java, Project Management, SQL",Mid-Level,1151204.65,Others,2063,738,80.32,1168.37,1,5.42,4.04,9,63.58,2025-01-14
53,Nashik,Retail,Business Development,"Market Analysis, Sales",Senior-Level,1485160.89,Others,1337,1163,73.57,3050.75,1,11.15,7.45,19,68.65,2023-04-09
54,Madurai,Healthcare,Operations,"Excel, Operations Management",Mid-Level,861185.56,Others,150,1553,74.91,3491.75,0,9.16,7.74,17,94.09,2023-10-20
55,Nashik,Tech,Business Development,"Sales, CRM, Market Analysis",Entry-Level,461263.92,Reliance Retail,1114,1210,51.22,1437.88,1,14.47,11.35,12,87.12,2023-05-11
56,Raipur,Education,Operations,"Operations Management, Excel, Logistics",Entry-Level,300000.0,Reliance Retail,1120,1591,71.68,9185.07,0,8.02,11.1,11,60.21,2023-06-27
57,Raipur,Finance,AI/ML,"Deep Learning, Python, TensorFlow, NLP",Entry-Level,591057.71,Others,1171,1265,64.0,6883.48,0,4.27,10.88,9,64.1,2024-01-16
58,Agra,Pharma,Others,"Customer Service, MS Office, English",Mid-Level,701597.12,Reliance Retail,906,1378,64.55,1182.97,0,9.75,10.31,15,92.86,2025-02-23
59,Agra,Tech,Sales,"Communication, Sales, Negotiation",Senior-Level,2199153.7,Reliance Retail,387,1526,71.0,1525.34,0,2.25,11.0,7,70.97,2023-05-11
60,Rajkot,Education,Others,"MS Office, English, Customer Service",Mid-Level,986546.19,Others,879,1605,66.29,2892.84,0,10.93,10.91,7,91.87,2024-01-29
61,Agra,Retail,Sales,"Sales, Communication, Negotiation",Senior-Level,1991433.82,Others,1750,1609,66.29,2732.99,0,5.72,11.82,17,90.28,2025-01-22
62,Vijayawada,Others,Data Science,"Statistics, SQL, Python, Data Visualization",Mid-Level,656693.17,Others,2189,631,83.56,2384.07,1,2.58,4.65,14,75.88,2023-10-02
63,Agra,Education,Engineering,"Project Management, SQL, Java",Mid-Level,958221.24,Others,1311,1351,67.66,1207.89,0,8.97,7.38,8,82.12,2023-08-21
64,Ranchi,Education,Retail,"Customer Service, English, MS Office",Mid-Level,728802.67,Reliance Retail,1842,1361,61.98,8078.71,0,5.47,5.15,38,99.85,2025-01-17
65,Raipur,Healthcare,Others,"MS Office, Customer Service",Mid-Level,898162.88,Reliance Retail,488,1422,68.57,6729.67,0,8.94,10.08,19,96.03,2023-11-06
66,Madurai,Pharma,Sales,"Negotiation, Sales, Communication",Entry-Level,300000.0,Others,1400,1553,65.79,3863.3,0,3.9,10.98,23,63.9,2024-04-13
67,Nashik,Finance,Business Development,"Market Analysis, Sales, CRM",Mid-Level,1634806.09,Others,1442,1580,71.45,3394.86,1,11.98,7.32,18,65.83,2023-10-11
68,Vijayawada,Tech,AI/ML,"TensorFlow, Python, Deep Learning, NLP",Senior-Level,2186055.56,Reliance Retail,2128,108,84.08,3821.54,1,6.47,2.1,9,97.46,2023-07-15
69,Madurai,Education,Engineering,"Project Management, Python, SQL",Entry-Level,343958.4,Reliance Retail,959,1523,74.67,4807.25,0,5.64,9.67,21,72.32,2024-06-29
70,Madurai,Retail,Data Science,"Statistics, Data Visualization",Entry-Level,300000.0,Others,1138,1304,54.43,4778.46,0,6.94,5.21,23,96.75,2024-12-01
71,Nashik,Retail,Operations,"Logistics, Excel, Operations Management",Senior-Level,1651781.95,Others,1495,944,57.95,4009.71,1,10.45,11.48,6,90.49,2024-02-07
72,Rajkot,Pharma,AI/ML,"NLP, Python",Mid-Level,950954.21,Others,924,1537,58.11,3781.87,0,12.24,5.51,18,85.7,2025-02-08
73,Vijayawada,Pharma,AI/ML,"NLP, Python, TensorFlow, Deep Learning",Mid-Level,646910.71,Others,2585,0,86.2,2723.45,1,9.64,3.14,7,64.06,2024-09-06
74,Madurai,Manufacturing,Operations,"Logistics, Excel",Entry-Level,300000.0,Others,505,1168,57.78,2090.5,0,3.45,8.68,29,91.74,2024-10-19
75,Visakhapatnam,Tech,Data Science,"Data Visualization, SQL, Python, Statistics",Mid-Level,1489745.01,Reliance Retail,1361,574,88.9,4623.56,1,4.05,2.91,13,63.82,2024-04-03
76,Agra,Healthcare,Data Science,"SQL, Data Visualization, Statistics",Mid-Level,1160072.76,Others,406,1592,55.42,3567.89,0,3.86,8.48,11,87.81,2023-03-30
77,Agra,Education,Sales,"Communication, Negotiation, Sales",Mid-Level,956221.43,Others,1552,1590,51.99,1767.47,0,4.84,5.47,15,85.61,2023-07-09
78,Jodhpur,Tech,Business Development,"Market Analysis, Sales, CRM",Mid-Level,1071804.4,Others,452,1719,51.31,4981.92,0,6.64,9.44,11,81.43,2024-05-12
79,Vijayawada,Tech,Engineering,"SQL, Java, Project Management",Senior-Level,3220144.83,Reliance Retail,1892,339,89.89,3083.83,1,8.04,4.48,18,64.71,2024-01-30
80,Nashik,Others,Business Development,"CRM, Market Analysis, Sales",Entry-Level,300000.0,Others,231,1142,70.63,4493.35,1,10.81,8.51,10,92.7,2023-11-14
81,Ranchi,Retail,Retail,"MS Office, Customer Service, English",Senior-Level,1670532.3,Reliance Retail,1299,1347,67.37,6730.5,0,8.9,9.24,33,80.1,2024-12-25
82,Ranchi,Retail,Business Development,"Sales, Market Analysis, CRM",Entry-Level,300000.0,Reliance Retail,1253,1516,62.65,7197.56,0,7.2,10.47,29,79.38,2023-03-21
83,Jodhpur,Finance,AI/ML,"NLP, TensorFlow",Mid-Level,1056361.53,Reliance Retail,129,1287,65.45,1930.58,0,7.25,10.54,15,76.57,2024-09-28
84,Nashik,Others,Operations,"Excel, Operations Management, Logistics",Mid-Level,936713.7,Reliance Retail,711,722,69.01,1860.81,1,10.06,8.41,16,85.84,2023-08-15
85,Raipur,Pharma,Operations,"Logistics, Excel, Operations Management",Entry-Level,300000.0,Others,1276,1827,59.81,5665.73,0,8.47,11.51,16,85.49,2023-09-20
86,Ranchi,Education,Retail,"Customer Service, MS Office, English",Mid-Level,885282.25,Others,679,1550,68.44,7561.11,0,2.58,11.7,27,71.86,2025-01-29
87,Jodhpur,Pharma,Sales,"Sales, Negotiation, Communication",Senior-Level,1185926.71,Others,1268,1855,52.05,4076.89,0,3.65,10.42,14,79.13,2023-05-10
88,Vadodara,Education,Others,"English, Customer Service",Entry-Level,343137.2,Reliance Retail,963,1179,73.01,1626.55,0,6.79,8.85,8,69.63,2024-05-17
89,Rajkot,Others,Engineering,"SQL, Project Management, Java, Python",Entry-Level,318444.4,Others,1407,1758,72.97,2842.16,0,13.64,8.82,10,81.58,2024-06-19
90,Agra,Retail,AI/ML,"NLP, Python, TensorFlow",Entry-Level,300000.0,Others,698,1582,53.77,4032.74,0,2.85,9.04,12,78.46,2023-11-05
91,Madurai,Manufacturing,Engineering,"Java, SQL, Python",Entry-Level,300000.0,Reliance Retail,574,1325,65.4,4135.17,0,8.09,6.42,19,87.14,2024-07-12
92,Nashik,Education,Operations,"Excel, Operations Management, Logistics",Senior-Level,1676573.52,Reliance Retail,1115,494,66.08,1551.29,1,13.32,6.27,5,83.53,2024-08-11
93,Nashik,Pharma,Business Development,"Market Analysis, CRM",Mid-Level,820231.84,Others,656,2058,70.12,2993.02,1,10.39,10.52,8,64.9,2024-09-19
94,Nashik,Others,Operations,"Operations Management, Excel, Logistics",Entry-Level,413196.88,Reliance Retail,708,1448,68.34,3550.21,1,12.48,10.18,13,82.62,2023-06-04
95,Raipur,Healthcare,Others,"Customer Service, MS Office, English",Entry-Level,343079.42,Others,1837,2003,51.4,6127.71,0,5.48,9.42,6,96.38,2024-06-27
96,Vadodara,Education,AI/ML,"Deep Learning, NLP, TensorFlow",Entry-Level,344093.61,Others,862,1200,50.34,1145.15,0,8.3,8.0,16,66.26,2024-01-08
97,Raipur,Healthcare,AI/ML,"NLP, TensorFlow",Entry-Level,363183.45,Reliance Retail,2016,1105,55.92,7741.6,0,8.62,8.46,7,89.01,2024-08-30
98,Vijayawada,Tech,Engineering,"SQL, Python",Entry-Level,398279.24,Reliance Retail,2196,988,85.26,2615.91,1,6.39,2.68,9,97.83,2023-12-09
99,Jodhpur,Retail,AI/ML,"NLP, TensorFlow",Mid-Level,421930.81,Reliance Retail,495,1685,70.16,4145.11,0,3.32,8.64,19,95.18,2024-03-04
100,Vijayawada,Pharma,Engineering,"Java, Python, Project Management",Mid-Level,1355039.13,Others,2941,476,82.47,2521.68,1,3.63,2.86,9,72.49,2023-04-16
101,Visakhapatnam,Pharma,Engineering,"Python, Project Management, Java, SQL",Senior-Level,806544.94,Reliance Retail,3031,131,89.2,3392.45,1,7.86,4.46,7,95.3,2023-03-13
102,Jodhpur,Retail,AI/ML,"TensorFlow, NLP, Deep Learning",Mid-Level,834039.17,Reliance Retail,960,1635,65.87,2709.96,0,6.48,11.23,17,73.47,2023-04-22
103,Raipur,Others,Sales,"Sales, Negotiation",Senior-Level,1585795.48,Others,785,1101,72.0,6221.7,0,5.36,6.34,11,84.84,2023-05-15
104,Jodhpur,Tech,Sales,"Sales, Negotiation",Senior-Level,2737430.37,HCLTech,1201,1492,66.9,1278.56,0,3.82,9.5,13,68.62,2023-11-10
105,Ranchi,Retail,Business Development,"CRM, Sales, Market Analysis",Senior-Level,1937386.57,Others,742,1440,72.47,8253.84,0,5.04,5.9,38,64.43,2024-05-27
106,Raipur,Manufacturing,Sales,"Communication, Sales, Negotiation",Entry-Level,318009.34,Reliance Retail,1165,1557,57.31,8769.81,0,7.81,6.97,18,68.74,2024-11-30
107,Nashik,Retail,Business Development,"Sales, Market Analysis, CRM",Entry-Level,300000.0,Reliance Retail,1264,1723,71.93,2361.62,1,14.95,8.0,6,82.93,2024-09-16
108,Ranchi,Education,Business Development,"Sales, CRM",Entry-Level,300000.0,Others,1860,1474,71.71,5323.43,0,9.29,7.39,39,84.28,2025-02-03
109,Jodhpur,Others,Data Science,"Python, Data Visualization, SQL",Mid-Level,637692.98,Others,1391,1210,66.31,3974.38,0,2.57,8.31,16,78.79,2025-02-17
110,Madurai,Pharma,Operations,"Logistics, Excel, Operations Management",Mid-Level,804825.85,Others,718,2183,64.77,1197.99,0,4.28,6.53,25,97.27,2023-06-26
111,Vadodara,Healthcare,Sales,"Sales, Negotiation, Communication",Entry-Level,300000.0,Reliance Retail,1134,1531,67.56,2098.93,0,5.29,9.26,17,88.74,2023-05-01
112,Vijayawada,Others,AI/ML,"Deep Learning, NLP, Python",Senior-Level,1021601.08,Others,2311,672,87.01,3198.33,1,4.57,3.24,7,83.75,2025-02-03
113,Raipur,Manufacturing,Engineering,"Project Management, SQL, Java",Mid-Level,833075.85,Reliance Retail,1379,1614,51.66,5710.69,0,5.89,5.86,19,78.66,2024-05-16
114,Rajkot,Retail,AI/ML,"Python, TensorFlow",Entry-Level,338195.78,Reliance Retail,1523,1399,63.56,1905.12,0,12.25,11.23,5,81.03,2025-01-17
115,Raipur,Tech,Operations,"Excel, Operations Management",Entry-Level,413620.47,Reliance Retail,1064,1568,59.65,7979.94,0,8.73,5.74,6,79.42,2023-09-02
116,Jodhpur,Manufacturing,Engineering,"Project Management, Java, SQL, Python",Mid-Level,461452.8,Others,948,1622,59.7,4024.85,0,9.2,7.2,6,93.07,2024-02-05
117,Rajkot,Pharma,Others,"English, Customer Service",Entry-Level,300000.0,Others,1223,1028,63.84,4334.6,0,11.51,7.4,16,93.23,2023-12-21
118,Agra,Tech,Operations,"Logistics, Excel, Operations Management",Entry-Level,348590.93,Reliance Retail,1162,1392,68.36,4170.09,0,3.18,11.35,10,81.34,2023-06-27
119,Agra,Tech,Others,"Customer Service, English, MS Office",Entry-Level,417441.32,HCLTech,1140,1300,53.72,2933.63,0,5.0,10.33,15,96.75,2023-09-09
120,Vadodara,Education,Sales,"Negotiation, Communication, Sales",Mid-Level,939707.11,Reliance Retail,946,1786,64.79,4984.49,0,7.12,7.18,9,80.42,2023-11-29
121,Vadodara,Finance,Data Science,"Data Visualization, Statistics, SQL",Senior-Level,2241581.06,Reliance Retail,805,1837,57.48,2115.04,0,2.07,10.8,11,61.77,2023-03-30
122,Jodhpur,Healthcare,Sales,"Sales, Negotiation, Communication",Mid-Level,951604.23,Others,1090,1543,59.98,3749.63,0,6.39,9.88,7,80.9,2023-06-04
123,Nashik,Pharma,Business Development,"Sales, Market Analysis, CRM",Entry-Level,387301.27,Others,1001,1446,57.38,4213.93,1,14.65,6.58,9,61.35,2024-08-03
124,Raipur,Manufacturing,Business Development,"CRM, Sales, Market Analysis",Mid-Level,813202.03,Reliance Retail,649,1675,61.35,7773.29,0,3.88,8.94,15,91.01,2024-03-27
125,Nashik,Finance,Business Development,"CRM, Market Analysis",Mid-Level,1033268.85,Others,795,1342,50.0,2104.68,1,13.53,10.19,5,65.2,2024-08-01
126,Raipur,Tech,Operations,"Operations Management, Excel, Logistics",Senior-Level,2318559.69,HCLTech,1429,1545,59.43,8375.7,0,9.44,5.97,9,98.64,2024-05-31
127,Vadodara,Others,AI/ML,"Deep Learning, TensorFlow, NLP",Internship,300000.0,Others,1529,1560,59.0,2730.92,0,4.95,10.37,17,76.63,2024-01-24
128,Nashik,Healthcare,Operations,"Excel, Logistics, Operations Management",Entry-Level,300000.0,Reliance Retail,1196,1688,68.85,4723.23,1,10.63,8.28,9,71.5,2024-01-20
129,Madurai,Manufacturing,Sales,"Communication, Sales, Negotiation",Entry-Level,302455.15,Reliance Retail,498,1722,58.43,2654.57,0,6.25,8.25,24,75.91,2023-07-08
130,Vadodara,Education,AI/ML,"TensorFlow, Python",Mid-Level,717885.83,Others,567,1284,64.38,2470.93,0,4.66,6.56,9,85.86,2023-03-16
131,Vijayawada,Others,Data Science,"SQL, Python, Data Visualization",Entry-Level,372480.6,Others,2621,433,79.54,2936.31,1,2.46,4.83,15,98.51,2024-02-10
132,Jodhpur,Manufacturing,Engineering,"Java, SQL, Python, Project Management",Entry-Level,389391.81,Others,668,1320,69.53,4244.5,0,7.39,11.42,13,87.6,2024-09-05
133,Visakhapatnam,Pharma,Data Science,"Python, Data Visualization, SQL, Statistics",Mid-Level,635700.78,Reliance Retail,2140,290,94.24,3187.44,1,6.49,4.59,5,99.25,2024-05-18
134,Ranchi,Education,Retail,"Customer Service, MS Office, English",Entry-Level,375132.77,Reliance Retail,200,1638,51.83,8111.72,0,9.55,11.84,27,79.08,2025-02-08
135,Raipur,Tech,AI/ML,"Deep Learning, Python",Entry-Level,575322.49,Reliance Retail,1587,1569,50.3,6785.15,0,3.78,10.1,13,76.11,2024-03-02
136,Rajkot,Manufacturing,Others,"MS Office, English",Entry-Level,300000.0,Reliance Retail,2747,1060,52.27,2777.46,0,13.11,7.91,5,67.66,2023-08-22
137,Vijayawada,Others,Engineering,"Project Management, Python",Mid-Level,881849.03,Reliance Retail,2843,531,83.7,2412.2,1,9.14,4.34,8,68.18,2024-07-22
138,Jodhpur,Finance,Business Development,"CRM, Market Analysis",Entry-Level,502597.17,Others,784,1525,57.38,1380.21,0,7.81,10.77,5,81.56,2023-11-17
139,Visakhapatnam,Tech,Engineering,"Python, Project Management, Java",Entry-Level,545463.0,HCLTech,2256,297,94.6,1005.9,1,3.79,3.99,18,92.72,2024-05-26
140,Rajkot,Retail,Business Development,"CRM, Market Analysis, Sales",Entry-Level,302049.15,Others,820,1252,55.51,1598.41,0,12.07,8.62,14,79.27,2023-09-20
141,Agra,Others,Sales,"Sales, Negotiation",Senior-Level,1222650.84,Others,1165,1937,74.31,1720.78,0,2.98,7.41,13,67.81,2024-10-09
142,Raipur,Retail,Sales,"Communication, Negotiation",Entry-Level,318708.85,Others,1529,1781,62.41,5815.18,0,2.2,9.93,17,63.9,2023-03-09
143,Jodhpur,Tech,Operations,"Operations Management, Excel, Logistics",Mid-Level,1273538.37,HCLTech,1921,800,52.96,4809.87,0,8.47,7.22,9,62.84,2024-11-11
144,Rajkot,Healthcare,Sales,"Sales, Negotiation, Communication",Senior-Level,1904921.86,Reliance Retail,327,1704,50.49,2646.62,0,12.15,7.49,7,87.1,2024-12-02
145,Visakhapatnam,Tech,Engineering,"Project Management, Java, SQL",Entry-Level,452982.54,Others,2670,701,89.02,1045.92,1,2.82,3.64,8,76.91,2023-07-13
146,Ranchi,Retail,Business Development,"CRM, Market Analysis, Sales",Entry-Level,339685.37,Reliance Retail,958,1065,66.42,9842.69,0,4.38,9.37,34,85.67,2023-07-14
147,Vadodara,Education,Data Science,"Statistics, Python, SQL, Data Visualization",Entry-Level,300000.0,Others,2068,1756,50.05,2796.34,0,9.51,9.38,5,60.62,2024-02-10
148,Ranchi,Education,Business Development,"Sales, Market Analysis, CRM",Mid-Level,1082169.19,Others,945,1649,66.81,9885.03,0,7.99,6.81,28,99.85,2024-09-21
149,Rajkot,Pharma,Business Development,"Sales, CRM, Market Analysis",Mid-Level,995120.57,Others,1518,1676,72.79,1063.25,0,14.56,9.18,18,98.06,2024-03-12
150,Raipur,Manufacturing,AI/ML,"Deep Learning, Python, TensorFlow, NLP",Senior-Level,1161457.91,Reliance Retail,299,1562,68.45,5342.29,0,6.31,11.27,12,91.49,2024-11-24
151,Vadodara,Education,Sales,"Sales, Communication, Negotiation",Senior-Level,1816399.97,Others,1218,2478,60.48,3395.38,0,5.26,6.47,7,76.39,2024-12-24
152,Agra,Pharma,Data Science,"Python, Data Visualization",Entry-Level,300000.0,Others,860,1416,66.61,3740.54,0,4.48,8.75,13,93.12,2024-07-17
153,Ranchi,Retail,Retail,"MS Office, Customer Service",Senior-Level,1084152.62,Others,1724,1229,51.94,9144.36,0,4.76,5.09,28,86.95,2024-06-07
154,Rajkot,Manufacturing,Business Development,"Market Analysis, Sales, CRM",Mid-Level,677234.07,Reliance Retail,791,1411,67.97,1645.45,0,10.1,7.48,6,80.77,2024-07-14
155,Jodhpur,Manufacturing,Data Science,"Python, Statistics, SQL",Entry-Level,300000.0,Reliance Retail,703,1278,63.92,3163.62,0,3.37,11.09,19,64.62,2024-05-28
156,Madurai,Healthcare,Data Science,"Python, Statistics, SQL",Entry-Level,300000.0,Others,552,1377,59.8,3031.22,0,8.34,8.92,24,95.26,2023-05-02
157,Agra,Retail,AI/ML,"Python, NLP",Mid-Level,764026.64,Reliance Retail,1812,1419,63.29,2618.27,0,5.28,6.97,10,79.17,2025-01-07
158,Nashik,Tech,Business Development,"CRM, Sales",Mid-Level,1280819.77,HCLTech,1077,1854,62.83,4770.18,1,10.21,9.95,16,88.91,2024-09-29
