Sales_ID,Sale_Date,Vehicle_Type,Price_Range,Sales_Volume,Region,State,Income_Level,Monsoon_Index,Repo_Rate,Inventory_Days,Export_Flag,Export_Region,Fuel_Type,Emission_Norm,Discount_Percentage,Consumer_Sentiment,Supply_Chain_Disruption,Festive_Season,Vehicle_Model
29,2025-05-12,Passenger Car,Entry-Level (<₹10L),318,Semi-Urban,Punjab,Medium,,4.96,24,False,,Electric,BS6,11.06,65.01,False,False,Tata Punch
30,2025-05-30,SUV,Mid-Range (₹10L-₹20L),274,Urban,Rajasthan,High,,5.28,15,False,,Diesel,BS6,1.03,97.72,False,False,Tata Nexon
31,2025-06-19,Scooter,Entry-Level (<₹10L),35,Urban,Madhya Pradesh,Medium,,5.29,72,False,,Diesel,BS6,15.28,77.45,False,False,Honda Activa
32,2025-04-15,SUV,Premium (>₹20L),904,Semi-Urban,Maharashtra,Low,,4.56,15,False,,Electric,BS6,0.02,38.95,False,False,MG Hector
33,2025-06-01,Scooter,Entry-Level (<₹10L),134,Rural,Uttar Pradesh,Low,87.89,4.91,81,False,,Petrol,BS6,6.66,46.25,False,False,Suzuki Access
34,2025-06-01,Motorcycle,Mid-Range (₹10L-₹20L),41,Urban,Bihar,High,,4.44,29,False,,Hybrid,BS6,5.07,82.51,False,False,TVS Apache
35,2025-05-17,SUV,Mid-Range (₹10L-₹20L),663,Semi-Urban,Tamil Nadu,Medium,,5.03,24,False,,Electric,BS6,5.9,33.88,False,False,Mahindra Thar
36,2025-06-01,Motorcycle,Entry-Level (<₹10L),315,Semi-Urban,Kerala,Low,,3.94,75,False,,Diesel,BS6,18.82,69.14,False,False,KTM Duke 200
37,2025-05-21,Passenger Car,Entry-Level (<₹10L),126,Rural,Delhi,Low,95.08,5.26,75,True,Middle East,Petrol,BS6,5.94,62.62,False,False,Renault Kwid
38,2025-05-25,SUV,Mid-Range (₹10L-₹20L),355,Urban,Haryana,Medium,,4.95,19,False,,Electric,BS6,7.23,92.41,False,False,MG Hector
39,2025-06-03,Passenger Car,Entry-Level (<₹10L),115,Semi-Urban,Rajasthan,Low,,3.93,55,False,,Diesel,BS6,8.12,30.81,False,False,Maruti Alto
40,2025-04-03,SUV,Mid-Range (₹10L-₹20L),631,Rural,Bihar,Low,66.89,4.06,10,False,,Petrol,BS6,8.6,67.83,False,False,Tata Nexon
41,2025-05-21,Scooter,Entry-Level (<₹10L),288,Urban,Punjab,Low,,4.54,28,False,,Petrol,BS6,6.66,67.08,False,False,Bajaj Chetak
42,2025-04-07,SUV,Premium (>₹20L),358,Urban,Kerala,Medium,,4.33,13,False,,Diesel,BS6,1.8,78.71,False,False,Tata Nexon
43,2025-04-21,Scooter,Premium (>₹20L),338,Semi-Urban,West Bengal,Medium,,5.61,33,False,,Electric,BS6,8.92,48.82,False,False,TVS Jupiter
44,2025-06-12,Scooter,Entry-Level (<₹10L),47,Semi-Urban,Haryana,Medium,,4.56,56,False,,Petrol,BS4,7.34,47.48,False,False,Suzuki Access
45,2025-05-09,SUV,Mid-Range (₹10L-₹20L),468,Semi-Urban,Delhi,Low,,4.55,44,False,,Diesel,BS6,8.3,52.5,False,False,Toyota Fortuner
46,2025-04-18,Motorcycle,Mid-Range (₹10L-₹20L),140,Semi-Urban,Tamil Nadu,High,,4.51,26,False,,Petrol,BS6,5.78,44.31,False,False,Royal Enfield Classic 350
47,2025-04-04,SUV,Mid-Range (₹10L-₹20L),618,Semi-Urban,Gujarat,Low,,4.82,23,True,Others,Petrol,BS6,4.48,69.23,False,False,Tata Nexon
48,2025-06-28,SUV,Mid-Range (₹10L-₹20L),592,Rural,Kerala,Medium,57.49,4.82,17,False,,Petrol,BS6,2.68,57.92,False,True,Tata Nexon
49,2025-05-30,Passenger Car,Entry-Level (<₹10L),120,Semi-Urban,Delhi,Medium,,3.67,22,False,,Petrol,BS6,13.14,40.4,False,False,Maruti Swift
50,2025-04-14,Motorcycle,Mid-Range (₹10L-₹20L),83,Urban,Odisha,Medium,,4.71,84,True,Others,Hybrid,BS6,9.45,65.66,False,False,TVS Apache
51,2025-04-09,SUV,Premium (>₹20L),246,Semi-Urban,Haryana,Low,,4.64,23,False,,Petrol,BS6,2.2,41.28,False,False,Toyota Fortuner
52,2025-06-29,SUV,Mid-Range (₹10L-₹20L),556,Urban,Maharashtra,High,,4.94,35,False,,Electric,BS6,1.1,76.78,False,True,Kia Seltos
53,2025-05-23,Passenger Car,Entry-Level (<₹10L),239,Urban,Rajasthan,Medium,,4.79,46,False,,Diesel,BS4,9.21,98.89,False,False,Renault Kwid
54,2025-04-02,Passenger Car,Premium (>₹20L),186,Semi-Urban,Gujarat,Medium,,4.78,41,False,,Petrol,BS6,9.56,66.93,False,False,Maruti Alto
55,2025-06-23,SUV,Mid-Range (₹10L-₹20L),246,Semi-Urban,Rajasthan,Medium,,4.65,35,False,,Petrol,BS6,0.18,52.28,False,True,MG Hector
56,2025-05-30,Scooter,Premium (>₹20L),230,Rural,Gujarat,Medium,83.08,4.28,87,False,,Petrol,BS6,8.03,63.83,False,False,TVS Jupiter
57,2025-06-10,Passenger Car,Entry-Level (<₹10L),49,Semi-Urban,West Bengal,Low,,4.76,82,False,,Hybrid,BS6,16.88,41.71,True,False,Maruti Alto
58,2025-05-14,SUV,Mid-Range (₹10L-₹20L),796,Urban,Bihar,Medium,,4.81,39,False,,Petrol,BS6,1.73,73.78,False,False,MG Hector
59,2025-04-08,Passenger Car,Entry-Level (<₹10L),17,Urban,Odisha,High,,4.67,82,False,,Diesel,BS6,16.05,84.06,False,False,Tata Punch
60,2025-05-17,Motorcycle,Entry-Level (<₹10L),170,Urban,Karnataka,Medium,,4.15,36,False,,Hybrid,BS6,11.77,76.32,False,False,TVS Apache
61,2025-05-05,SUV,Premium (>₹20L),540,Rural,Punjab,Medium,75.57,4.65,17,False,,Electric,BS6,8.34,61.99,False,False,Mahindra Thar
62,2025-06-17,SUV,Entry-Level (<₹10L),613,Urban,Madhya Pradesh,Medium,,4.6,38,False,,Petrol,BS6,10.37,75.15,False,False,Mahindra Thar
63,2025-06-20,SUV,Premium (>₹20L),137,Rural,Maharashtra,Low,59.85,4.93,10,False,,Diesel,BS6,8.97,45.79,False,False,MG Hector
64,2025-05-06,Scooter,Entry-Level (<₹10L),22,Rural,Rajasthan,Medium,77.94,4.67,72,False,,Hybrid,BS4,13.19,31.37,False,False,Honda Activa
65,2025-05-20,SUV,Mid-Range (₹10L-₹20L),506,Rural,Bihar,Low,61.15,5.39,28,False,,Petrol,BS6,0.12,50.76,False,False,Hyundai Creta
66,2025-04-04,Motorcycle,Entry-Level (<₹10L),373,Semi-Urban,Haryana,Medium,,4.39,29,False,,Diesel,BS6,15.11,38.59,False,False,Bajaj Pulsar
67,2025-04-02,Motorcycle,Entry-Level (<₹10L),113,Rural,Delhi,Low,95.03,5.02,52,False,,Diesel,BS6,14.86,46.99,False,False,Royal Enfield Classic 350
68,2025-04-06,Passenger Car,Premium (>₹20L),600,Semi-Urban,Assam,Low,,4.94,92,True,Japan,Petrol,BS6,4.19,47.27,False,False,Tata Punch
69,2025-05-24,Passenger Car,Entry-Level (<₹10L),189,Rural,Bihar,Low,97.89,4.84,83,False,,Petrol,BS6,15.07,50.93,False,False,Maruti Alto
70,2025-04-04,Scooter,Entry-Level (<₹10L),37,Urban,Tamil Nadu,Medium,,4.41,96,False,,Electric,BS6,13.03,88.19,False,False,Bajaj Chetak
71,2025-05-24,Passenger Car,Mid-Range (₹10L-₹20L),437,Urban,Maharashtra,Medium,,4.52,72,False,,Diesel,BS6,3.42,98.58,False,False,Renault Kwid
72,2025-06-02,Motorcycle,Entry-Level (<₹10L),243,Rural,West Bengal,Low,57.89,5.15,85,False,,Petrol,BS6,17.62,46.59,False,False,Bajaj Pulsar
73,2025-04-18,Motorcycle,Entry-Level (<₹10L),109,Urban,Rajasthan,Medium,,5.19,97,True,Middle East,Petrol,BS6,6.26,99.71,False,False,KTM Duke 200
74,2025-06-29,Passenger Car,Entry-Level (<₹10L),226,Urban,Karnataka,Medium,,4.62,94,False,,Electric,BS6,5.12,91.2,False,True,Renault Kwid
75,2025-05-14,SUV,Mid-Range (₹10L-₹20L),624,Urban,Karnataka,High,,4.21,45,True,Others,Diesel,BS6,6.57,77.56,False,False,Tata Nexon
76,2025-05-04,Passenger Car,Mid-Range (₹10L-₹20L),553,Semi-Urban,Madhya Pradesh,Low,,4.36,28,False,,Petrol,BS6,4.54,39.55,False,False,Maruti Swift
77,2025-06-13,Scooter,Entry-Level (<₹10L),65,Semi-Urban,Kerala,Low,,4.57,47,False,,Electric,BS6,18.87,34.5,True,False,Bajaj Chetak
78,2025-06-01,SUV,Entry-Level (<₹10L),516,Urban,Punjab,Medium,,4.95,34,False,,Petrol,BS6,10.99,67.39,False,False,Hyundai Creta
79,2025-04-14,SUV,Mid-Range (₹10L-₹20L),463,Urban,Delhi,Low,,4.78,17,False,,Electric,BS6,8.72,87.49,True,False,Hyundai Creta
80,2025-05-18,Passenger Car,Entry-Level (<₹10L),398,Urban,Kerala,Low,,5.77,25,False,,Petrol,BS6,6.66,94.48,False,False,Maruti Swift
81,2025-04-15,Scooter,Entry-Level (<₹10L),23,Rural,Madhya Pradesh,Medium,55.37,4.59,31,True,Middle East,Petrol,BS6,10.5,60.23,False,False,TVS Jupiter
82,2025-06-11,Scooter,Mid-Range (₹10L-₹20L),326,Urban,Madhya Pradesh,High,,5.15,64,False,,Petrol,BS6,8.24,60.21,False,False,Bajaj Chetak
83,2025-06-17,Motorcycle,Entry-Level (<₹10L),102,Urban,Karnataka,Medium,,4.88,34,True,Others,Petrol,BS6,16.04,82.85,False,False,Bajaj Pulsar
84,2025-06-26,Passenger Car,Entry-Level (<₹10L),189,Urban,Maharashtra,Medium,,5.17,49,False,,Diesel,BS6,14.73,85.5,False,True,Tata Punch
85,2025-06-01,Motorcycle,Entry-Level (<₹10L),349,Urban,Haryana,Medium,,4.15,70,False,,Diesel,BS6,10.61,82.51,False,False,KTM Duke 200
86,2025-05-10,Passenger Car,Mid-Range (₹10L-₹20L),538,Urban,Haryana,Medium,,4.96,98,False,,Petrol,BS6,7.61,97.1,False,False,Maruti Swift
87,2025-06-24,SUV,Entry-Level (<₹10L),92,Rural,Karnataka,Medium,63.63,4.98,39,False,,Electric,BS6,17.12,44.72,True,True,Mahindra Thar
88,2025-06-19,Passenger Car,Entry-Level (<₹10L),75,Urban,Punjab,High,,5.28,80,True,Japan,Petrol,BS6,7.07,77.19,False,False,Renault Kwid
89,2025-06-21,SUV,Mid-Range (₹10L-₹20L),584,Urban,Punjab,High,,3.66,35,False,,Diesel,BS6,2.93,74.31,False,True,Hyundai Creta
90,2025-05-23,Scooter,Mid-Range (₹10L-₹20L),207,Semi-Urban,Tamil Nadu,Medium,,5.03,34,False,,Petrol,BS6,2.76,67.21,False,False,Bajaj Chetak
91,2025-04-24,SUV,Premium (>₹20L),458,Semi-Urban,Karnataka,Medium,,4.87,33,False,,Petrol,BS6,4.7,43.23,False,False,Hyundai Creta
92,2025-04-26,Motorcycle,Mid-Range (₹10L-₹20L),306,Urban,Bihar,Low,,4.45,24,False,,Petrol,BS6,6.01,94.95,False,False,Royal Enfield Classic 350
93,2025-06-28,Passenger Car,Mid-Range (₹10L-₹20L),460,Rural,Karnataka,Low,85.81,5.37,89,False,,Electric,BS6,7.17,67.73,False,True,Hyundai i20
94,2025-05-30,Motorcycle,Entry-Level (<₹10L),245,Rural,Maharashtra,Medium,77.53,4.8,81,False,,Petrol,BS6,11.24,54.04,False,False,Bajaj Pulsar
95,2025-05-11,Motorcycle,Entry-Level (<₹10L),34,Semi-Urban,Kerala,Medium,,4.05,65,False,,Petrol,BS6,7.98,68.47,False,False,TVS Apache
96,2025-04-29,Motorcycle,Entry-Level (<₹10L),206,Semi-Urban,Tamil Nadu,Medium,,4.81,21,False,,Petrol,BS6,6.89,67.31,False,False,KTM Duke 200
97,2025-04-15,Motorcycle,Entry-Level (<₹10L),159,Rural,Uttar Pradesh,Low,63.85,5.25,59,False,,Petrol,BS6,5.45,60.83,False,False,Bajaj Pulsar
98,2025-05-15,Motorcycle,Entry-Level (<₹10L),140,Rural,Madhya Pradesh,Low,71.47,5.01,67,False,,Petrol,BS6,9.66,69.37,False,False,KTM Duke 200
99,2025-06-04,Scooter,Entry-Level (<₹10L),66,Rural,Uttar Pradesh,Low,75.28,4.17,31,False,,Diesel,BS6,15.51,67.07,False,False,Honda Activa
100,2025-06-28,SUV,Mid-Range (₹10L-₹20L),940,Urban,Assam,Medium,,4.71,44,False,,Diesel,BS6,7.9,85.38,False,True,Toyota Fortuner
101,2025-06-10,Motorcycle,Mid-Range (₹10L-₹20L),31,Urban,Madhya Pradesh,Medium,,4.79,30,False,,Petrol,BS6,9.28,78.16,False,False,Royal Enfield Classic 350
102,2025-04-09,Motorcycle,Entry-Level (<₹10L),161,Urban,Punjab,Medium,,3.53,46,False,,Petrol,BS6,7.83,70.74,False,False,KTM Duke 200
103,2025-06-27,Motorcycle,Entry-Level (<₹10L),291,Semi-Urban,Karnataka,Low,,4.63,49,True,Japan,Petrol,BS6,11.52,43.23,False,True,TVS Apache
104,2025-04-01,Passenger Car,Entry-Level (<₹10L),52,Semi-Urban,Madhya Pradesh,Low,,4.9,88,False,,Diesel,BS6,15.79,43.45,False,False,Hyundai i20
105,2025-04-08,SUV,Premium (>₹20L),861,Rural,Haryana,Medium,80.47,5.0,19,False,,Petrol,BS6,4.45,56.74,False,False,Mahindra Thar
106,2025-06-27,Motorcycle,Entry-Level (<₹10L),157,Urban,Punjab,Medium,,4.7,52,False,,Petrol,BS6,12.4,95.23,False,True,KTM Duke 200
107,2025-06-02,SUV,Entry-Level (<₹10L),422,Urban,Punjab,High,,5.11,33,False,,Petrol,BS6,12.48,99.57,False,False,Mahindra Thar
108,2025-04-11,SUV,Premium (>₹20L),614,Urban,Odisha,Medium,,4.8,23,False,,Hybrid,BS6,3.69,88.88,False,False,MG Hector
109,2025-06-20,Motorcycle,Entry-Level (<₹10L),71,Rural,Gujarat,High,87.62,4.72,22,False,,Petrol,BS6,8.02,33.13,False,False,KTM Duke 200
110,2025-04-08,Scooter,Entry-Level (<₹10L),276,Semi-Urban,Karnataka,Low,,5.16,68,False,,Petrol,BS6,8.68,54.61,False,False,Suzuki Access
111,2025-05-05,SUV,Mid-Range (₹10L-₹20L),176,Rural,Delhi,Low,93.82,4.73,21,False,,Electric,BS6,5.35,65.06,False,False,MG Hector
112,2025-05-05,SUV,Premium (>₹20L),138,Rural,West Bengal,Low,81.69,5.36,46,False,,Petrol,BS6,0.11,42.49,False,False,Kia Seltos
113,2025-05-03,Passenger Car,Mid-Range (₹10L-₹20L),561,Urban,West Bengal,High,,4.43,73,True,Latin America,Petrol,BS6,7.7,65.66,False,False,Maruti Alto
114,2025-04-05,Scooter,Entry-Level (<₹10L),169,Urban,Gujarat,High,,4.82,51,False,,Petrol,BS6,9.1,96.99,False,False,Honda Activa
115,2025-05-11,SUV,Mid-Range (₹10L-₹20L),507,Rural,Kerala,Low,69.0,5.44,15,False,,Hybrid,BS6,3.23,42.75,False,False,Hyundai Creta
116,2025-04-28,Motorcycle,Entry-Level (<₹10L),184,Urban,Tamil Nadu,High,,5.02,79,False,,Petrol,BS6,12.31,92.53,False,False,Hero Splendor
117,2025-04-07,Scooter,Entry-Level (<₹10L),139,Semi-Urban,Assam,Low,,4.53,91,False,,Electric,BS6,6.17,44.95,False,False,Suzuki Access
118,2025-06-12,Motorcycle,Entry-Level (<₹10L),217,Urban,Maharashtra,Low,,3.88,73,True,Japan,Petrol,BS6,5.65,73.94,False,False,TVS Apache
119,2025-06-11,Passenger Car,Mid-Range (₹10L-₹20L),152,Rural,Delhi,Low,97.53,4.97,40,False,,Petrol,BS6,0.39,53.5,False,False,Hyundai i20
120,2025-04-12,Passenger Car,Entry-Level (<₹10L),284,Semi-Urban,Maharashtra,Low,,4.71,80,False,,Petrol,BS6,14.16,67.56,False,False,Renault Kwid
121,2025-05-04,Motorcycle,Entry-Level (<₹10L),148,Urban,Tamil Nadu,Low,,4.68,54,False,,Petrol,BS6,10.22,78.76,False,False,KTM Duke 200
122,2025-05-03,SUV,Premium (>₹20L),874,Urban,West Bengal,Medium,,4.99,21,False,,Petrol,BS6,6.43,71.01,False,False,Toyota Fortuner
123,2025-05-18,Motorcycle,Mid-Range (₹10L-₹20L),225,Semi-Urban,Delhi,Low,,4.14,81,False,,Electric,BS6,3.11,64.87,False,False,Bajaj Pulsar
124,2025-04-23,SUV,Mid-Range (₹10L-₹20L),232,Rural,Tamil Nadu,Low,97.65,4.95,26,False,,Petrol,BS6,5.11,48.2,False,False,MG Hector
125,2025-06-01,Motorcycle,Entry-Level (<₹10L),105,Rural,Bihar,Low,62.1,5.13,49,False,,Petrol,BS6,14.81,60.96,False,False,Royal Enfield Classic 350
126,2025-06-27,Scooter,Entry-Level (<₹10L),136,Rural,Gujarat,Medium,55.22,5.16,64,False,,Petrol,BS6,11.63,32.86,False,True,Honda Activa
127,2025-05-07,SUV,Mid-Range (₹10L-₹20L),911,Semi-Urban,Bihar,Low,,5.15,13,False,,Petrol,BS6,2.76,62.03,False,False,Tata Nexon
128,2025-05-14,Scooter,Mid-Range (₹10L-₹20L),368,Rural,Bihar,Low,75.39,4.85,36,True,Latin America,Electric,BS6,5.32,50.45,False,False,Honda Activa
129,2025-06-25,SUV,Mid-Range (₹10L-₹20L),345,Rural,Rajasthan,Low,51.96,4.69,18,False,,Hybrid,BS6,7.06,61.31,False,True,Hyundai Creta
130,2025-05-05,Motorcycle,Mid-Range (₹10L-₹20L),302,Urban,Gujarat,Low,,4.86,21,False,,Petrol,BS6,0.75,96.58,False,False,Royal Enfield Classic 350
131,2025-06-04,Passenger Car,Entry-Level (<₹10L),10,Semi-Urban,Madhya Pradesh,Medium,,4.53,86,False,,Petrol,BS6,11.01,38.27,False,False,Tata Punch
132,2025-05-17,SUV,Mid-Range (₹10L-₹20L),540,Rural,Tamil Nadu,Low,72.55,4.62,23,False,,Diesel,BS6,1.47,49.16,False,False,Mahindra Thar
133,2025-06-17,Passenger Car,Mid-Range (₹10L-₹20L),395,Semi-Urban,West Bengal,Medium,,4.59,93,False,,Petrol,BS6,5.75,35.24,False,False,Renault Kwid
134,2025-04-03,SUV,Premium (>₹20L),506,Urban,Uttar Pradesh,Medium,,4.87,46,False,,Electric,BS6,4.25,78.3,False,False,MG Hector
135,2025-04-01,Scooter,Entry-Level (<₹10L),189,Rural,Gujarat,Low,74.59,4.99,95,False,,Petrol,BS6,18.88,35.88,False,False,TVS Jupiter
136,2025-04-05,Scooter,Entry-Level (<₹10L),167,Semi-Urban,Maharashtra,Medium,,4.83,74,False,,Electric,BS6,11.32,61.75,False,False,Bajaj Chetak
137,2025-06-29,Motorcycle,Entry-Level (<₹10L),206,Semi-Urban,Gujarat,Low,,4.24,77,True,Latin America,Petrol,BS6,5.02,33.15,False,True,TVS Apache
138,2025-04-14,Motorcycle,Mid-Range (₹10L-₹20L),209,Rural,Punjab,Medium,66.37,4.1,57,True,Others,Petrol,BS6,4.66,42.21,False,False,KTM Duke 200
139,2025-04-27,SUV,Premium (>₹20L),194,Urban,West Bengal,High,,4.67,41,False,,Petrol,BS6,6.36,90.05,False,False,MG Hector
140,2025-04-09,Motorcycle,Entry-Level (<₹10L),70,Urban,Bihar,Medium,,4.78,37,False,,Petrol,BS6,19.93,64.75,False,False,Bajaj Pulsar
141,2025-06-18,Passenger Car,Entry-Level (<₹10L),172,Semi-Urban,Rajasthan,Medium,,4.89,77,False,,Petrol,BS6,14.34,30.27,False,False,Renault Kwid
142,2025-04-15,Passenger Car,Mid-Range (₹10L-₹20L),466,Semi-Urban,Delhi,Low,,4.87,65,True,Middle East,Petrol,BS6,1.55,63.96,False,False,Renault Kwid
143,2025-06-29,Motorcycle,Mid-Range (₹10L-₹20L),309,Semi-Urban,Bihar,Medium,,4.53,37,True,Japan,Electric,BS6,3.72,58.83,False,True,Bajaj Pulsar
144,2025-05-12,SUV,Premium (>₹20L),163,Rural,Delhi,Low,63.95,4.42,49,False,,Petrol,BS6,8.02,59.93,False,False,Toyota Fortuner
145,2025-06-16,Scooter,Entry-Level (<₹10L),202,Semi-Urban,Odisha,Low,,4.91,28,False,,Diesel,BS6,14.46,53.19,False,False,Bajaj Chetak
146,2025-05-21,SUV,Mid-Range (₹10L-₹20L),841,Urban,Delhi,High,,5.0,39,True,Japan,Petrol,BS6,3.05,81.73,False,False,MG Hector
147,2025-06-02,Passenger Car,Mid-Range (₹10L-₹20L),112,Rural,Maharashtra,Medium,91.16,5.49,20,True,Japan,Diesel,BS6,6.2,33.31,False,False,Tata Punch
148,2025-05-22,Scooter,Mid-Range (₹10L-₹20L),194,Rural,Karnataka,Low,62.68,5.15,43,False,,Petrol,BS6,6.73,45.49,False,False,Bajaj Chetak
149,2025-04-04,SUV,Mid-Range (₹10L-₹20L),866,Urban,Madhya Pradesh,Medium,,5.06,28,False,,Petrol,BS6,5.65,88.62,False,False,Kia Seltos
150,2025-04-23,Passenger Car,Mid-Range (₹10L-₹20L),210,Semi-Urban,West Bengal,Medium,,5.22,62,False,,Petrol,BS6,8.3,68.02,False,False,Renault Kwid
151,2025-04-15,Motorcycle,Entry-Level (<₹10L),53,Urban,Gujarat,High,,3.99,66,False,,Diesel,BS6,6.87,94.31,False,False,KTM Duke 200
152,2025-05-13,Scooter,Mid-Range (₹10L-₹20L),117,Semi-Urban,Rajasthan,Low,,5.0,74,False,,Petrol,BS6,6.44,60.52,False,False,Honda Activa
153,2025-04-29,Motorcycle,Entry-Level (<₹10L),325,Semi-Urban,Tamil Nadu,Medium,,4.77,30,False,,Diesel,BS6,13.87,30.48,False,False,Bajaj Pulsar
154,2025-05-06,Passenger Car,Entry-Level (<₹10L),144,Semi-Urban,Assam,Medium,,3.91,41,False,,Petrol,BS6,13.44,33.99,False,False,Maruti Alto
155,2025-04-13,Scooter,Entry-Level (<₹10L),94,Urban,Rajasthan,Low,,4.99,91,False,,Petrol,BS6,12.68,65.48,False,False,TVS Jupiter
156,2025-05-02,SUV,Mid-Range (₹10L-₹20L),305,Urban,Bihar,Low,,5.29,14,False,,Electric,BS6,6.54,87.25,False,False,Hyundai Creta
157,2025-06-10,Motorcycle,Entry-Level (<₹10L),177,Semi-Urban,Karnataka,Medium,,4.18,74,False,,Hybrid,BS6,14.84,49.88,True,False,Bajaj Pulsar
158,2025-05-29,Motorcycle,Entry-Level (<₹10L),125,Semi-Urban,Haryana,Low,,5.14,99,False,,Petrol,BS6,8.98,42.1,False,False,KTM Duke 200
